title,create_year,number_of_acts,genres,settings,time_and_place,cast_size,orchestra_size,dancing,casting_notes,tags,ideal_for,synopsis,cluster
jerry springer: the opera,2003,3,,,,large,,,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult characters",,,"Jerry Springer – The Opera is a story of triumph, tragedy and trailer trash. The infamous Jerry Springer is shot by one of his guests and goes to Hell. In Hell, the Jerry Springer show continues but with guests such as Jesus, God and Adam and Eve. Eventually, God asks Jerry for help judging mankind. Jerry accepts his offer to reign alongside him in Heaven and the two opposing sides fight over Jerry. At first, Jerry pleads for his life with a series of glib homilies, but eventually makes an honest statement which resounds with his audience. Heaven and Hell put aside their differences and join in a hymn of praise to all life.",0
jerry's girls,1984,2,Jukebox/Revue,,,,,,,,,A musical review of songs from classic Jerry Herman musicals.,0
jersey boys,2005,2,"Historical/Biographical, Jukebox/Revue",Multiple Settings,"1950s to early 2000s, Various locations, especially around New Jersey",medium,Rock Combo,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, late teen, young adult characters",contemporary mt;pop music;quartet;four part harmony;historical figure;music;music industry;1950s;1960s;1970s;new jersey;italian american;working class;blue collar;friendship;pressure;career;fame;stardom;touring;alcoholism;marriage;divorce;rags-to-riches;jukebox;jukebox musical;tony award best musical;tony award;tony nominee;olivier award,"College/University, Community Theatre, Mostly Male Cast, Professional Theatre, Regional Theatre, Star Vehicle Male","Jersey Boys is the inspiring rags-to-riches tale of The Four Seasons. When Frankie Valli, Bob Gaudio, Tommy DeVito, and Nick Massi met, they were just four New Jersey teens singing together under street lamps, scraping for gigs and money in their working-class neighborhood. As the quartet rises to international stardom, they celebrate the highs and endure the lows that come hand-in-hand with fame. Each member of the group takes a turn narrating events, illustrating how a ragtag group of guys from New Jersey -- and their decades-long friendships -- became music history. Jersey Boys is a smash hit that showcases The Four Seasons most iconic hits and reveals the inspiring tale behind the music.",0
jesus christ superstar,1971,2,"Drama, Historical/Biographical","Period, Multiple Settings, Simple/No Set",biblical era israel,medium,Rock Combo,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, child, early teen, late teen, young adult, elderly characters",bible;religion;rock opera;gospel;movie-musical;1970s;rock musical,"College/University, Community Theatre, Professional Theatre, Religious Groups","Jesus Christ Superstar tells the story of biblical Jesus in the final days leading up to his crucifixion. A rock opera by Andrew Lloyd Webber and Tim Rice, the musical has no spoken dialogue and is sometimes considered a modern rock-opera. Loosely based on the Gospels, Superstar focuses on the personal conflicts between Jesus, his disciples, the people of Israel, and the leadership of Rome. Special attention is played to the relationship between Judas Iscariot and Jesus, as well as Jesus’ relationship with Mary Magdalene. The musical is unique among biblical retellings in that it focuses on both Judas’ struggle making the decision to betray Jesus and Jesus’ human psychology, fear, and anger in understanding and accepting his role as both leader and martyr. The show is a product of its era, permeated with 1970’s rock, gospel, folk and funk themes, modern language and colloquialisms, and high-energy dance numbers.",0
john & jen,1995,2,Drama,"Contemporary, Simple/No Set","1952-1990, USA and Canada",small,Small,None,Includes adult characters,family;relationships;drama;sister;brother;son;mother;usa;canada;growth;war;vietnam war;off-broadway;two-hander,"Star Vehicle Male, Star Vehicle Female, Small Cast, Regional Theatre, Professional Theatre","John & Jen is a musical about relationships, family, and freedom. At the heart of the story are Jen and John, two siblings six years apart, who rely on each other to survive their less-than-ideal family situation. As life continues and Jen moves away to college, they are thrown into opposite worlds; values, experiences, and friends, shaping them into different people until unrecognizable to each other. In this beautiful story of life, writers Andrew Lippa and Tom Greenwald weave the delicate balance of family relationships, telling a story that is, at its core, vulnerable, grounded, and real. With beautiful soaring music, a simple set and a script that spans 38 years, two actors take the stage to tell the tale of one family: a sister, a brother, and a son.",0
joseph and the amazing technicolor dreamcoat,1973,2,"Comedy, Fairy Tale/Fantasy, Historical/Biographical",Multiple Settings,"biblical times, the holy land",large,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, late teen, young adult characters",star vehicle (female);roles for children;musical comedy;the bible;bible;biblical;religious;social themes;rite of passage;family;israel;egypt;friendship;star vehicle (male);brothers;narrator;comedy;fairy tale;fantasy;historical;biographical;holy;tony nominee,"College/University, Community Theatre, Diverse Cast, Elementary School, Ensemble Cast, High School, Large Cast, Middle School, Professional Theatre, Regional Theatre, Religious Groups, Star Vehicle Female, Star Vehicle Male","The biblical story of Joseph and his coat of many colors comes alive in the musical retelling. Joseph -- the favorite son of Jacob -- is blessed with vivid dreams that foretell the future. Sold into slavery by his jealous brothers, Joseph endures a series of adventures which challenge him to his core. Soon he finds himself belonging to Potiphar, whose wife makes advances toward Joseph and ultimately land him behind bars. However, news of Joseph’s ability to interpret dreams sparks the interest of the hilariously Elvis-like Pharaoh. Soon, Joseph is out of jail and well on his way to second-in-command. Eventually Joseph’s brothers find themselves unknowingly groveling at the feet of the brother they betrayed. As they fail to even recognise him, Joseph tests their integrity. He ultimately reveals himself and the brothers are reconciled. A truly timeless Old Testament tale, Joseph and the Amazing Technicolor Dreamcoat is set to a multitude of musical genres, spanning from country-western and calypso to bubble-gum pop and rock and roll.",0
junie b. jones: the musical,2005,1,Comedy,Multiple Settings,"Present, Junie B. Jones’s Elementary School & Home",small,Recording,Some Dance,"Includes young adult, adult characters",theatre for young audiences;tya;junior version;comedy;elementary school;school;children;parents;child;teachers;lunch;glasses;sports;kickball;fun;book;books;journal;diary;adventure;adventures;student;students,"Community Theatre, Professional Theatre, Regional Theatre, Star Vehicle Female, Theatre For Young Audiences (TYA)/Children's","Wowee wow wow! Junie B. Jones, America’s favorite elementary school student, comes to life onstage in this adaptation of three books in Barbara Park’s popular book series of the same name. Clad with purple glasses and all, Junie B., along with her classmates, parents, and teachers, sings and dances her way through the first grade, and while chronicling her adventures in her “top secret personal beeswax” journal, she learns the importance of facing obstacles head-on and turning bad situations into good ones. Junie B. Jones: The Musical, though written as a piece of theatre for young audiences, is fun for the entire family and highlights the timeless themes of friendship, acceptance, and humility.",0
kimberly akimbo,2021,2,"Drama, Comedy","Contemporary, Multiple Settings","Bergen County, New Jersey, 1999",medium,Medium,Some Dance,"Mostly female cast
                                                                                    
                                            Includes mature adult, adult, late teen characters",star vehicle (female);family;optimism;coming of age;comedy;dysfunction;dysfunctional family;adaptation;teenagers;disease;tony award;tony award best musical,"College/University, Professional Theatre, Regional Theatre, Star Vehicle Female","As a 16-year-old who looks 60, Kimberly Levaco’s life is anything but ordinary. Born with a rare genetic condition that makes her age four times the speed of everyone else, Kimberly is dealing with all the typical teen angst on top of a well-meaning drunk dad, a narcissistic pregnant mother, and an aunt who’s prone to crime sprees - all while living on borrowed time. When Aunt Debra drums up a get-rich-quick scheme, Kimberly and her friends decide to join in on the plan in hopes of making the most of their lives. A teen comedy, heist plot, and surprising love story rolled into one musical journey makes Kimberly Akimbo unlike any other musical.
Winning 5 Tony Awards, including Best Musical. Kimberly Akimbo is a fantastically heartwarming story with an incredible score from Jeanine Tesori (Fun Home, Shrek, Thoroughly Modern Millie), and book/lyrics by Pulitzer Prize winner David Lindsay-Abaire.",0
the king and i,1951,2,Romance,Multiple Settings,"bangkok, siam, early 1860s",large,,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult, late teen, early teen, child characters",leading man;leading woman;children;minorities;social themes;period piece;historical;classic;operetta;star vehicle (female);star vehicle (male);love;operatic;cross-cultural;education;power;gender;tradition;modernity;east - west;asian;teacher;school;biographical;bangkok;siam;thailand;royal;king;teaching;junior version;rodgers and hammerstein;richard rodgers;oscar hammerstein;rodgers;hammerstein;tony award best musical;tony award;tony nominee,"Mostly Male Cast, Professional Theatre, Regional Theatre","Rodgers and Hammerstein’s The King and I is a moving, radiant story of East meets West. It is the early 1860s when newly widowed Anna Leonowens and her son, Louis, set sail from their native England for Bangkok, Siam (now Thailand). Anna, still grieving, has set her sights on a new adventure and taken a position as the schoolteacher for the royal offspring of the King of Siam. The King is determined to usher Siam into the modern world, and he thinks Western education can be a part of that – yet, Anna is horrified at first by many of the traditions that he holds dear. Anna and the King struggle to find common ground. The King is largely considered to be a barbarian by rulers of the West, and he takes Anna on as an advisor, asking her to help change his image – if not his actual practice. With both keeping a firm grip on their respective traditions and values, Anna and the King teach each other about understanding, respect, and love that can transcend the greatest of differences. Beneath the fraught, fiercely opinionated, conflict-ridden surface of Anna and the King’s relationship lies one of the most unique love stories in the musical theatre canon.",1
king kong,2013,2,Drama,"Period, Spectacle","New York and Skull Island, 1930s",small,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult characters",1930s;film adaptation;ambition;exploitation;great depression;damsel in distress;filmmaking;puppetry;robotics;spectacle,"Professional Theatre, Star Vehicle Female","Based on the film of the same name, King Kong follows Ann Darrow, an ambitious young actress and Carl Denham, a maverick producer as they travel from the tough streets of 1930s New York City to Skull Island to film the greatest movie the world will ever see. While on the mysterious island, the film team makes contact with King Kong, a 2,000- pound, 20- foot ape. As Carl pivots his focus from filmmaking to capturing the beast, Ann finds a surprising kindred spirit with Kong and is willing to risk everything to save him. With innovative robotics, puppetry, and stagecraft, King Kong is a musical spectacle that will leave audiences stunned. 
Please note that this guide is based on the 2018 Broadway production of King Kong, not the 2013 Melbourne production.",7
kinky boots,2012,2,"Comedy, Historical/Biographical","Contemporary, Multiple Settings","Northampton, London, Present Day",medium,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, child, young adult characters",film adaptation;star vehicle (male);britain;fashion;factory;factory workers;english;english accent;drag;performers;prejudice;lgbtq;queer theatre;tony award best musical;tony award;tony nominee;olivier award,"Mostly Male Cast, Star Vehicle Male","After trying to escape his father’s low-key, family ambitions for him, Charlie Price has suddenly inherited his father's shoe factory, which is on the verge of bankruptcy. Charlie must now face the decision of whether to pursue a new life in London with his fiancee Nicola, or return to the town in which he grew up and save his father’s dreams. Ultimately, Charlie decides to try to live up to his father's legacy and rescue his family business, and, in doing so, he finds unlikely inspiration in the form of Lola. A fabulous drag queen in need of some sturdy stiletto boots, Lola turns out to be the one person who can help Charlie become the man he's meant to be. As they work to turn the factory around, this unlikely pair find that they have more in common than they ever dreamed possible. With the door thrown open and the world at their fingers, Charlie discovers that when you change your mind about someone, you can change your whole world.",0
kismet,1953,2,"Comedy, Romance","Spectacle, Period, Multiple Settings","A fictional Baghdad, Islamic Golden Age",medium,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes late teen, young adult, adult, mature adult, elderly characters",arabian nights;love;confusion;poet;beggar;star vehicle (male);book musical;tony award;adaptation;harem;corruption;film adaptation;golden age musical;wives;exotic;wit;father;daughter;marriage;disguise;seduction;tony award best musical;tony nominee,"Professional Theatre, Regional Theatre, Star Vehicle Male","With extreme cleverness and a fair amount of luck, the poor but wily Poet rises from the streets of Baghdad, avoids losing a hand when put on trial for theft, and is instead given the title of Emir by the Wazir of Baghdad. Meanwhile, the Wazir is in debt and has taken out a loan with the King of Ababu. In return, he must now marry the Caliph to one of Abbabu’s princesses...or all three! This plan hits a snag when the Caliph falls in love with the Poet’s beautiful daughter, Marsinah, while traveling around the city incognito. He announces his plans to the Wazir, who is not best pleased and relies on the assistance of his new Emir. In a series of unfortunate circumstances, Marsinah is spotted within the Wazir’s harem and announced as his new bride to the devastated Caliph. Realizing what has occurred, the Poet tricks the Wazir into entering a pool of water where he is drowned. Caliph and Marsinah are reunited, the Poet is pardoned for the Wazir’s murder and, for his “punishment” he is rewarded with a life in luxurious exile with the Wazir’s beautiful widow, Lalume. Exotic, seductive, and Golden Age Broadway, these events could only happen on an Arabian Night!",6
"kiss me, kate",1948,2,"Comedy, Romance",Multiple Settings,"america, 1949",medium,Medium,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult characters",love;gender;battle of the sexes;show business;competition;courtship;shakespeare;gambling;mob;play-within-a-play;metatheatrical;drama desk;shrew;taming of the shrew;divorce;sparring;witty;wit;clever;gangsters;bickering;exes;classic musical theatre;golden age musical;production number;shakespeare adaptation;opening number;tony award best musical;tony award;tony nominee,"College/University, Community Theatre, High School, Large Cast, Star Vehicle Female, Star Vehicle Male","Egotistical leading man, director, and producer Fred Graham is reunited with his ex-wife, Lilli Vanessi, when the two are forced to play opposite one another in a new production of Shakespeare's Taming of the Shrew. The battle of the sexes continues onstage and off, as it becomes clear that, as much as this couple profess to hate each other, they are also still in love. Alongside their bickering liaison, the show’s supporting actress, Lois Lane, supports her gambling boyfriend, Bill, as he attempts to evade the the clutches of local gangsters. Throw in a number of cases of mistaken identity, the mob, and comedic routines into the mix and you get Kiss Me, Kate -- a dazzling Broadway classic that earned the very first Tony award for Best Musical.",0
kiss of the spider woman,1992,2,Drama,"Contemporary, Fantasy/Imaginary, Unit/Single Set","prison, Argentina, 1960s",medium,Medium,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult characters",argentina;1960s;revolution;marxism;prison;jail;homosexuality;corruption;torture;fantasy;imagination;love;bravery;passion;cinema;film;sexy;sex;feelings;passionate;song and dance;diva;vamp;john kander;fred ebb;kander and ebb;tony award best musical;tony award;tony nominee,"College/University, Community Theatre, Diverse Cast, Mature Audiences, Professional Theatre, Regional Theatre","It is the 1960s in Argentina, a time of civic, economic, and cultural turmoil. Window-dresser Luis Alberto Molina is in the third year of his eight-year prison sentence for sexual deviancy and corrupting a minor. He lives in the fantasy world of cinema, often visited by the beautiful Aurora, his favorite film star. And while he loves her, he fears the Spider Woman, a vampy diva who kills men with her kiss. One day, Marxist revolutionary Valentin Arregui Paz is pushed into this cell after being tortured. Valentin is hostile, secretive, and confrontational towards the chattering Molina, and even draws a line down the center of the cell to keep Molina away from him. But Molina is a caring man, and tends to Valentin after brutal torture, and even keeps Valentin’s secrets while sharing his daydreams of Aurora. The men develop a trusting relationship that extends beyond simple friendship into a true love and dedication to each other. Based on Manuel Puig’s bestselling novel El beso de la mujer arana with a vibrant score by the legendary Kander and Ebb, Kiss of the Spider Woman is a testament to fantasy and friendship in the most dire of circumstances.",0
kwamina,1961,2,,,,medium,,,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult, late teen characters",,,"The action takes place in 1960s West Africa in a British colony on the eve of it's independence.  The people are torn between their traditional ways and the modern world.  Kwamina, the chief's son, returns after studying in London.  He soon falls in love with the white lady doctor, Eve.  Meanwhile, his father still wants him to marry the girl who had been betrothed to Kwamina sine birth, Naii.",6
"lady, be good",1924,2,"Comedy, Farce, Romance","Period, Multiple Settings","Connecticut, 1925",medium,Medium,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult, mature adult characters",brother;sister;duo;love;inheritance;comedy;1920s;expandable casting;marriage;period piece;broadway;dance,"College/University, Community Theatre, High School, Regional Theatre, Star Vehicle Male, Star Vehicle Female","When the orphaned Dick and Susie Trevor are evicted and living on the street with a thunderstorm on the horizon, they are eager to sacrifice him- or herself to help the other. In desperation, they crash the garden party of wealthy Jo Vanderwater for a free meal. Dick loves Shirley Vernon but is ashamed to pursue her because of his financial situation. Jo is interested in Dick, and it turns out that she was behind the eviction, as a ploy to get his attention. Meanwhile Susie finds herself falling for Jack, a charming, but seemingly penniless, man she meets at the party. Luckily, all turns out well when Jack turns out to be worth millions! Thus Susie marries Jack; Dick is able to marry his love, Shirley; and the wealthy lawyer, Watty, marries the equally wealthy Josephine.",1
the land of forgotten toys,2019,1,Comedy,"Contemporary, Simple/No Set","December 23rd, Sheboygan, Wisconsin",small,Recording,,"Mostly female cast
                                                                                    
                                            Includes late teen, young adult, adult, mature adult characters",christmas;toys;star vehicle (female);contemporary;festive;new work;astronomy;holidays;adventure;2f scenes;1m 1f scenes;santa;flexible casting,"Community Theatre, College/University, High School, Middle School","Grace is a brilliant, young woman with big dreams and a passion for Astronomy.
It is three days before Christmas.  Grace, almost 18, works in a toy store owned by her grumpy aunt, Charlotte, who adopted her after her parents, who owned the store, died. Nikki, also works there. Grace doesn’t fit in at the store. She is deeply interested in astronomy, and yearns to go in search of adventure though she is set to inherit the toy store when she turns 18.  She begs for a chance to go far away.
Suddenly the lights go off; Grace and Nikki are transported to the legendary Land of Forgotten Toys. They meet Cassiopeia – Queen of the Northern Sky – leader of The Land of Forgotten Toys, and various toys. They discover that Santa has been kidnapped by his evil sister, Charlotta, and that, in answer to Grace’s plea, she has been chosen to save him.  Grace finds all this hard to believe, but she admits that the universe is full of surprises and that she did truly want an adventure. So she agrees to help.
Grace, with Nikki’s help, discovers what is going on.  They meet the elf, Schmedrick, they encounter the Icicle Giant, and they confront Charlotta.  Grace eventually leads them all, including the toys, in saving Santa. They discover that the toys are not misfits; in fact their “flaws” are key to their success. And Grace discovers that she, too, really does fit in.  Santa is freed. He confronts Charlotta but graciously grants her another chance.
Grace returns to the toy store with a new perspective. She reaches out gracefully to Charlotte mending their relationship and revealing that she sees a new possibility for the shop.  And a new name – Unforgotten Toys – a shop with toys for every kind of child! For, while we are all different, none of us are really misfits. And even in the darkest galaxies, there is always light!",7
the last five years,2001,1,"Drama, Romance",Simple/No Set,"the present (1997-2001), new york city",small,Small,None,Includes adult characters,romance;tragic romance;betrayal;small cast;duet;love;marriage;courtship;infidelity;star vehicle (female);star vehicle (male),,"Drama Desk award-winner The Last Five Years is Jason Robert Brown’s intimate window into a couple’s doomed marriage.  Cathy, a struggling actress, and Jamie, a budding novelist on the brink of wild success, are 20-somethings in New York who meet, fall in love, marry, and divorce over the span of five years.  Cathy tells the story from the end of their marriage; Jamie begins from when they first meet.  As the musical unfolds, Cathy moves backward in time to the beginning of the relationship as Jamie moves toward the end; they meet only once, in the middle, at their wedding.  Since its Off-Broadway premiere in 2002, Brown’s funny, poignant, and devastatingly honest two-person production has enraptured audiences around the world with its spellbinding and emotional score and libretto.",0
the last session,1997,2,"Dark Comedy, Drama, Historical/Biographical","Contemporary, Unit/Single Set","Los Angeles, A recording studio",small,Rock Combo,None,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult characters",AIDS;lgbtq;musicians;recording;songwriter;dying;suicide,,"The Last Session premiered Off-Broadway in New York City in 1997 and is known for its powerful storytelling, emotional depth, and memorable musical numbers.
The plot of The Last Session revolves around a fictionalized version of composer Steve Schalchlin himself, who is a singer-songwriter living with AIDS. Set in a recording studio in Los Angeles, the story unfolds over the course of a single afternoon as Steve gathers with a group of musicians to record what he intends to be his final album, hence the title The Last Session.
As the recording session progresses, the characters confront their fears, regrets, and hopes for the future. The music becomes a vehicle for expressing their deepest emotions and grappling with the challenges of living with illness and facing mortality. Despite the heavy subject matter, the musical also features moments of humor, camaraderie, and resilience.",0
the last ship,2014,2,Drama,Multiple Settings,northeast england,medium,,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, elderly, late teen, young adult characters",sting;britain;working class;thatcher-era,,"The Last Ship is set in the English seafaring town of Wallsend, a close-knit community where life has always revolved around the local shipyard and the hardworking men construct magnificent vessels with tremendous pride. But Gideon Fletcher dreams of a different future. He sets out to travel the world, leaving his life and his love behind. When Gideon returns home 14 years later, he finds the shipyard's future in grave danger and his childhood sweetheart engaged to someone else. As the men of Wallsend take their future into their own hands and build a towering representation of the shared dream that defines their existence, Gideon realizes that he left behind more than he could have ever imagined.",0
lazarus,2015,1,"Jukebox/Revue, Fairy Tale/Fantasy, Drama",Unit/Single Set,"New York City, Present Day",medium,Rock Combo,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, early teen, late teen, young adult characters",jukebox musical;star vehicle (male);science fiction;otherworldly;cinematic;fantasy;death;psychosis;longing;tense;spectacle,"Professional Theatre, Regional Theatre, Star Vehicle Male","Inspired by the book, The Man Who Fell to Earth by Walter Tevis, Lazarus centers around Thomas Newton, an alien from another planet who is stuck on Earth. Unable to die, Newton is haunted by a past love and longs for a sense of peace. Upon the arrival of another lost soul, Newton is given one final light of hope that he may finally be set free. With songs from David Bowie’s extensive musical discography, Lazarus is a tense, emotional spectacle.",0
legally blonde,2007,2,"Comedy, Romance",Multiple Settings,"present day, harvard university, ucla",large,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, mature adult, adult characters",film adaptation;star vehicle (female);romantic comedy;sorority;dog;friendship;bubbly;dumped;dumb blonde;lawyer;college;law student;law school;beauty queen;beautician;trial;salon;beauty salon;determination;junior version;olivier award,"College/University, Community Theatre, High School, Mostly Female Cast, Professional Theatre, Regional Theatre, Star Vehicle Female","Based on the novel and the hit-movie of the same name, Legally Blonde: the Musical chronicles the journey of the famously perky Elle Woods, a fashion-savvy, UCLA sorority girl who finds her life turned upside down when she is dumped by her boyfriend Warner. In an effort to prove to Warner that she is more than just some blonde sorority girl, she follows him to Harvard Law, where she struggles to fit in and do well. Ultimately, she defies expectations and manages to stay true to her delightfully pink personality.",0
the light in the piazza,2003,2,Drama,Multiple Settings,"florence, italy, 1953",medium,Large,Optional,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult characters",italy;southern;illness;injury;love;romance;marriage;affair;mother;father;travel;1950s;tony nominee,,"Summer 1953: Margaret Johnson, an elegant and strong-willed Southern woman, has taken her daughter, Clara, on a vacation to Italy. When a gust of wind blows Clara’s hat right into the hands of a young Italian gentleman, neither age nor language nor familial disapproval can stop their whirlwind love affair. As Clara and Fabrizio fall into each others’ arms, Margaret must grapple with the question of whether to disclose  Clara’s devastating secret to Fabrizio’s warm, passionate Italian family. With soaring operatic melodies that set it apart from most contemporary musical theatre, The Light in the Piazza is a story about mothers and daughters, fathers and sons, and the deeply intertwined emotions of love and loss.",0
the light princess,2013,1,Fairy Tale/Fantasy,"Period, Fantasy/Imaginary, Multiple Settings, Spectacle",Fairy tale kingdom,medium,Small,Musical Staging,"Includes late teen, young adult, adult, mature adult characters",fairy tale;adaptation;king;queen;witch;gravity;princess;prince;romance;love;tears;lake;swimming;wisdom;flying;weightless;floating;whimsical,"College/University, Community Theatre, Ensemble Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Theatre For Young Audiences (TYA)","Once upon a time, a witch cursed an infant princess with no gravity. She never felt weight, whether physical or emotional; she could never walk on the ground, and she could never cry over anything. Instead, she floated and laughed. But her favorite place to be was in a lake outside the castle, where she would spend hours swimming. The witch (who also happened to be the princess’s aunt) looked forward to the girl’s sixteenth birthday: If the princess did not find her gravity by then, the curse would be permanent, and the kingdom would be under the control of the witch! Desperate, the king and queen--aided by their wise ones--search for a solution to bring the princess back down to the ground. Believing that the princess should “fall” in love, the king holds a suitor contest. But little does he know she’s already met a prince, even if he doesn’t want to be a prince anymore! Adapted by Lila Rose Kaplan and Mike Pettry, from the Scottish fairy tale by George MacDonald, The Light Princess is a whimsical adventure for the whole family.",7
the lightning thief: the percy jackson musical,2014,2,"Comedy, Fairy Tale/Fantasy","Contemporary, Fantasy/Imaginary, Simple/No Set","America, Present Day",small,Rock Combo,Optional,"Mostly male cast
                                                                                                                            
                                            Includes late teen, young adult, adult characters",fantasy;broadway;greek mythology;greek gods;demigod;quest;hero;star vehicle (male);action;adventure;diverse casting;expandable casting;flexible casting;trio;teen roles;teenager;adaptation;pop;rock,"College/University, Community Theatre, Diverse Cast, High School, Regional Theatre, Star Vehicle Male","Percy Jackson is a teenage boy who always seems to get into trouble, no matter how hard he tries to be good. When he is expelled from school for the sixth time, his mother decides that it is time for Percy to know the truth. The Greek gods are real and, what’s more, Percy is a demigod, the son of Poseidon. Along with fellow demigod Annabeth (the daughter of Athena) and best friend and protector Grover (who happens to be a Satyr), Percy must go on an epic quest to retrieve Zeus’ stolen lightning bolt and prevent war amongst the gods. The quest turns into an epic adventure, with the Furies, Medusa, and Ares (the god of war) among those wanting to stop Percy in his tracks. With time running out, Percy soon discovers that nothing is normal when you’re a demigod.",16
the lion king,1997,2,Fairy Tale/Fantasy,"Fantasy/Imaginary, Multiple Settings, Spectacle",the plains of africa,large,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes late teen, young adult, adult, child characters",hamlet;father-son;animals;fantastical;african;modern;betrayal;murder;guilt;king;prince;evil;uncle;family;love;pride;junior version;friend;africa;lion;lions;disney;masks;tony award best musical;tony award;tony nominee;puppetry,"Large Cast, Professional Theatre, Regional Theatre","Based on the 1994 Disney animated feature film of the same name and William Shakespeare’s Hamlet, The Lion King is the story of Simba, an adventurous and energetic lion cub who is next in line to be king of the Pride Lands, a thriving and beautiful region in the African savanna. When Simba’s father Mufasa is killed by his uncle Scar, though, Simba is led to believe that his father’s death is his fault, and he is encouraged to run away forever. Scar seizes power and with his already unstable mind deteriorating, the Pride Lands experiences a darkness and desolation from which only Simba can save the animals of the kingdom. Featuring classic songs from the film such as “Circle of Life,” “I Just Can’t Wait to Be King,” “Hakuna Matata,” and “Can You Feel the Love Tonight,” The Lion King is a story and a spectacle about identity, family, and responsibility that is enjoyed worldwide by people of all ages.",7
the lion king jr/kids,2015,1,Drama,"Multiple Settings, Spectacle",The Plains of Africa,large,Recording,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes early teen, late teen, child characters",father-son;animals;fantastical;african;modern;betrayal;murder;guilt;king;prince;evil;uncle;family love;friend;pride;junior version;africa;lion;lions;disney,"Community Theatre, Diverse Cast, Elementary School, Ensemble Cast, Large Cast, Middle School, Star Vehicle Male, Theatre For Young Audiences (TYA)","Based on the 1994 Disney animated feature film of the same name and William Shakespeare’s Hamlet, The Lion King is the story of Simba, an adventurous and energetic lion cub who is next in line to be king of the Pride Lands, a thriving and beautiful region in the African savanna. When Simba’s father Mufasa is killed by his uncle Scar, though, Simba is led to believe that his father’s death is his fault, and he is encouraged to run away forever. Scar seizes power and with his already unstable mind deteriorating, the Pride Lands experiences a darkness and desolation from which only Simba can save the animals of the kingdom. Featuring classic songs from the film such as “Circle of Life,” “I Just Can’t Wait to Be King,” “Hakuna Matata,” and “Can You Feel the Love Tonight,” The Lion King is a story and a spectacle about identity, family, and responsibility that is enjoyed worldwide by people of all ages.",7
the little big things,2023,2,Drama,"Contemporary, Unit/Single Set","England, 2009 - present",medium,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult characters",true story;british;england;new work;uplifting;family;musical;disabilities;accessible;rugby;inspirational,"Ensemble Cast, Mostly Male Cast, Professional Theatre, Regional Theatre, Star Vehicle Male","Based on a true story, The Little Big Things follows Henry Fraser and his family in the aftermath of a diving accident that changes their lives forever. Torn between the past they expected, and the future they now fear, the Fraser brothers and their parents must confront their new reality and navigate Henry’s new life as a tetraplegic. With an uplifting score, and some incredibly impressive technical design, The Little Big Things shows us what it means to persevere and overcome the impossible, wowing audiences in London's West End every single night!",0
little mary sunshine,1959,2,"Farce, Romance",,,medium,,,"Mostly male cast
                                                                                                                            
                                            Includes early teen, late teen, young adult, adult, mature adult characters",parody;spoof;farce,,"The show takes place at the Colorado Inn, owned by Little Mary Sunshine (Mary Potts), in the early 20th century. Chief Brown Bear, Mary's foster father, has decided to take her advice and sue the U.S. government in order to regain his tribal land.  Meanwhile the U.S. Forest Rangers are on the hunt for a group of marauding Indians,led by Yellow Foot. After Mary is captured and tied to a tree by Yellow Feather, Captain Jim saves her and the two fall in love. Further, the United States government rules in Brown Bear's favor and he gets his land back.",3
